nome_curso_norm,semestre_conclusao_minimo,semestre_conclusao_ideal,semestre_conclusao_maximo,ch_total_minima,cr_total_minimo,id_curso
ADMINISTRACAO,8.0,10.0,16.0,3000,8,414099
AGRONOMIA,8.0,11.0,14.0,3960,10,414196
ARQUITETURA E URBANISMO,9.0,14.0,18.0,4110,0,414181
ARQUIVOLOGIA,6.0,10.0,10.0,2400,0,414931
ARTES CENICAS,8.0,10.0,12.0,3255,45,414437
ARTES CENICAS - INTERPRETACAO TEATRAL,7.0,10.0,12.0,2880,0,414436
ARTES VISUAIS,8.0,10.0,12.0,3210,0,434774
BIBLIOTECONOMIA,8.0,11.0,14.0,2700,0,414940
BIOTECNOLOGIA,8.0,11.0,14.0,3210,0,414371
CIENCIA DA COMPUTACAO,8.0,9.0,14.0,3210,0,414599
CIENCIA POLITICA,6.0,9.0,12.0,2700,8,414892
CIENCIAS AMBIENTAIS,7.0,11.0,14.0,2700,4,414667
CIENCIAS BIOLOGICAS,8.0,11.0,14.0,3210,0,414391
CIENCIAS CONTABEIS,10.0,11.0,14.0,3000,12,414131
CIENCIAS ECONOMICAS,6.0,8.0,14.0,3000,104,414699
CIENCIAS NATURAIS,7.0,11.0,16.0,3225,4,702703
CIENCIAS SOCIAIS,6.0,10.0,14.0,2745,18,414404
CIENCIAS SOCIAIS - ANTROPOLOGIA,6.0,10.0,14.0,2520,12,414407
CIENCIAS SOCIAIS - SOCIOLOGIA,6.0,10.0,14.0,2520,12,414425
COMPUTACAO,6.5,9.0,16.0,3210,9,414608
COMUNICACAO SOCIAL,8.0,11.0,14.0,2790,0,414162
COMUNICACAO SOCIAL - AUDIOVISUAL,8.0,11.0,14.0,2820,0,414151
COMUNICACAO SOCIAL - COMUNICACAO ORGANIZACIONAL,8.0,11.0,14.0,2790,0,414137
COMUNICACAO SOCIAL - JORNALISMO,8.0,11.0,14.0,2790,0,414164
COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA,8.0,11.0,14.0,2790,0,414156
DESENHO INDUSTRIAL - PROGRAMACAO VISUAL,7.0,11.0,14.0,2940,4,414966
DESIGN - PROGRAMACAO VISUAL,7.0,11.0,14.0,2940,8,414970
DESIGN - PROJETO DO PRODUTO,7.0,11.0,14.0,2940,4,414971
DIREITO,10.0,13.0,16.0,3840,4,414220
EDUCACAO ARTISTICA - MUSICA,6.0,9.0,14.0,2970,0,414453
EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA,8.0,10.0,12.0,3525,4,414881
EDUCACAO DO CAMPO - CIENCIAS DA NATUREZA E MATEMATICA,8.0,10.0,12.0,3550,0,414882
"EDUCACAO DO CAMPO - LINGUAGENS, ARTES E LITERATURA",8.0,10.0,12.0,4255,0,414885
EDUCACAO DO CAMPO - MATEMATICA,8.0,10.0,12.0,3510,2,414886
EDUCACAO FISICA,8.0,10.0,12.0,3210,4,414274
ENFERMAGEM,10.0,11.0,14.5,4230,0,414295
ENGENHARIA,1.0,5.0,3.0,3750,0,414915
ENGENHARIA AEROESPACIAL,10.0,10.0,18.0,3930,0,414916
ENGENHARIA AMBIENTAL,10.0,14.0,18.0,3900,0,414345
ENGENHARIA AUTOMOTIVA,10.0,13.0,16.0,3885,0,414919
ENGENHARIA CIVIL,8.0,13.0,18.0,3930,0,414350
ENGENHARIA DE COMPUTACAO,8.0,13.0,18.0,3780,18,414610
ENGENHARIA DE ENERGIA,10.0,10.0,16.0,3825,0,414922
ENGENHARIA DE PRODUCAO,10.0,14.0,18.0,3600,4,414326
ENGENHARIA DE REDES DE COMUNICACAO,10.0,15.0,20.0,3750,0,414330
ENGENHARIA DE SOFTWARE,9.5,10.0,16.0,3600,4,414924
ENGENHARIA ELETRICA,8.0,10.0,18.0,3930,4,414360
ENGENHARIA ELETRONICA,10.0,13.0,16.0,3855,0,414926
ENGENHARIA FLORESTAL,8.0,12.0,16.0,3870,8,414342
ENGENHARIA MECANICA,8.0,13.0,18.0,3930,4,414368
ENGENHARIA MECATRONICA - CONTROLE E AUTOMACAO,8.0,10.0,18.0,4110,0,414333
ENGENHARIA QUIMICA,10.0,12.0,18.0,3960,0,414862
ESTATISTICA,8.0,8.0,16.0,3000,0,414620
FARMACIA,10.0,12.0,18.0,4395,4,414906
FILOSOFIA,6.0,10.0,14.0,3030,4,414713
FISICA,6.0,10.0,14.0,3300,8,414663
FISICA COMPUTACIONAL,6.0,9.0,12.0,2670,8,414662
FISIOTERAPIA,10.0,10.0,18.0,4500,0,414908
FONOAUDIOLOGIA,8.0,8.0,14.0,3510,0,414909
GEOFISICA,8.5,11.5,14.0,3450,4,414669
GEOGRAFIA,6.0,10.0,14.0,2910,4,414731
GEOLOGIA,8.0,12.0,16.0,3960,0,414677
GESTAO AMBIENTAL,8.0,12.0,16.0,2790,4,414888
GESTAO DE AGRONEGOCIOS,8.0,12.0,16.0,3000,12,414198
GESTAO DE POLITICAS PUBLICAS,8.0,12.0,16.0,3000,12,414093
GESTAO DO AGRONEGOCIO,8.0,12.0,16.0,3000,0,414889
HISTORIA,7.0,11.0,15.0,3405,0,702700
JORNALISMO,8.0,11.0,14.0,3000,0,414165
LETRAS - LINGUA E LITERATURA JAPONESA,7.0,11.0,15.0,2400,0,414779
LETRAS - LINGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA,8.0,12.0,16.0,2550,0,414782
LETRAS - LINGUA FRANCESA E RESPECTIVA LITERATURA,6.0,10.0,14.0,2700,4,414796
LETRAS - LINGUA INGLESA E RESPECTIVA LITERATURA,6.0,10.0,14.0,3540,0,414809
LETRAS - LINGUA PORTUGUESA E RESPECTIVA LITERATURA,6.0,10.0,14.0,3240,0,414772
LETRAS - PORTUGUES DO BRASIL COMO SEGUNDA LINGUA,6.0,10.0,14.0,2820,0,414848
LETRAS - TRADUCAO - ESPANHOL,7.0,11.0,14.0,2520,0,414775
LETRAS - TRADUCAO - FRANCES,6.0,10.0,14.0,2700,0,414813
LETRAS - TRADUCAO - INGLES,6.0,10.0,14.0,2700,0,414822
LINGUA DE SINAIS BRASILEIRA -PORTUGUES COMO SEGUNDA LINGUA,8.0,12.0,16.0,2820,0,414849
LINGUAS ESTRANGEIRAS APLICADAS - MSI,8.0,8.0,16.0,2880,0,414823
MATEMATICA,6.0,10.0,14.0,2820,0,414640
MEDICINA,10.0,14.0,18.0,7920,22,414280
MEDICINA VETERINARIA,10.0,14.5,19.0,4200,0,414202
MUSEOLOGIA,7.0,8.0,12.0,2535,4,702704
MUSICA,8.0,11.0,14.0,3015,0,414430
MUSICA - CANTO,6.0,8.0,10.0,2070,6,414465
MUSICA - CLARINETA,6.0,8.0,10.0,2070,6,414469
MUSICA - COMPOSICAO,12.0,14.0,16.0,3330,6,414473
MUSICA - CONTRABAIXO,6.0,8.0,10.0,2070,0,414479
MUSICA - FAGOTE,6.0,8.0,10.0,2070,0,414484
MUSICA - FLAUTA,6.0,8.0,10.0,2070,0,414489
MUSICA - OBOE,6.0,8.0,10.0,2070,0,414495
MUSICA - PIANO,6.0,8.0,10.0,2070,0,414500
MUSICA - REGENCIA,12.0,14.0,16.0,3330,0,414504
MUSICA - SAXOFONE,6.0,8.0,10.0,2070,0,414509
MUSICA - TROMBONE,6.0,8.0,10.0,2070,0,414513
MUSICA - TROMPETE,6.0,8.0,10.0,2070,0,414523
MUSICA - VIOLA,6.0,8.0,10.0,2070,0,414528
MUSICA - VIOLAO,6.0,8.0,10.0,2070,0,414533
MUSICA - VIOLINO,6.0,8.0,10.0,2070,0,414538
MUSICA - VIOLONCELO,6.0,8.0,10.0,2070,0,414543
NUTRICAO,6.0,9.0,14.0,3600,8,414314
ODONTOLOGIA,10.0,10.0,18.0,4065,0,414321
PEDAGOGIA,6.0,10.0,14.0,3330,0,414229
PSICOLOGIA,8.0,11.0,14.0,4230,54,414962
QUIMICA,7.0,10.0,12.0,3150,0,414870
QUIMICA TECNOLOGICA,8.0,13.0,18.0,3300,0,414873
RELACOES INTERNACIONAIS,6.0,9.0,12.0,2790,8,414899
SAUDE COLETIVA,8.0,10.5,14.0,3225,0,414912
SERVICO SOCIAL,8.0,9.0,16.0,3120,4,414764
TEATRO,8.0,8.0,14.0,3000,0,694213
"TEORIA, CRITICA E HISTORIA DA ARTE",8.0,10.0,12.0,2610,0,414435
TERAPIA OCUPACIONAL,8.0,10.0,12.0,3510,0,414914
TURISMO,8.0,12.0,16.0,2640,4,414088
